#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
941528	104	51154	106618	119337	-	-	ADARB1	MRTO4	ADAR2|DRABA2|DRADA2|RED1	C1orf33|MRT4|dJ657E11.4	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9UKD2	A0A024RAE1	NP_057267	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941529	104	51491	106618	119568	-	CGI-117	ADARB1	NOP16	ADAR2|DRABA2|DRADA2|RED1	HSPC111|HSPC185	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9Y3C1	B4E098|Q6PIM0	NP_001304904|NP_001243469|NP_001243468|NP_001278234|NP_001278235|NP_001278236|NP_001278237|NP_057475	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941530	104	23212	106618	116819	-	-	ADARB1	RRS1	ADAR2|DRABA2|DRADA2|RED1	-	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q15050	-	NP_055984	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941531	104	55153	106618	120456	-	-	ADARB1	SDAD1	ADAR2|DRABA2|DRADA2|RED1	-	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9NVU7	B4DT66|E7EW05	NP_001275912|NP_001275913|NP_060585	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941532	104	55342	106618	120623	-	-	ADARB1	STRBP	ADAR2|DRABA2|DRADA2|RED1	HEL162|ILF3L|SPNR|p74	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q96SI9	V9HWK4	NP_001363035|NP_001363036|NP_001164608|NP_060857|NP_001363038	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941533	104	51663	106618	119667	-	-	ADARB1	ZFR	ADAR2|DRABA2|DRADA2|RED1	SPG71|ZFR1	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q96KR1	Q05D65	NP_057191	-	-	-	-	-	-	Homo sapiens	Homo sapiens
942066	104	55299	106618	120586	-	-	ADARB1	BRIX1	ADAR2|DRABA2|DRADA2|RED1	BRIX|BXDC2	Affinity Capture-Western	physical	Li S (2014)	PUBMED:24778252	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q8TDN6	-	NP_060791	-	-	-	-	-	-	Homo sapiens	Homo sapiens
942085	115098	104	125411	106618	-	-	CCDC124	ADARB1	-	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-Western	physical	Li S (2014)	PUBMED:24778252	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96CT7	A0A024R7M8	NP_001129675|NP_612451	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
942086	10969	104	116166	106618	RP5-1034F7.2	-	EBNA1BP2	ADARB1	EBP2|NOBP|P40	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-Western	physical	Li S (2014)	PUBMED:24778252	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99848	H7C2Q8|Q6IB29	NP_006815|NP_001153408	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1064376	648	104	107116	106618	RP11-573G6.1	-	BMI1	ADARB1	FLVI2/BMI1|PCGF4|RNF51	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35226	-	NP_005171	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1258193	10713	104	115939	106618	CGI-21	-	USP39	ADARB1	65K|HSPC332|SAD1|SNRNP65	ADAR2|DRABA2|DRADA2|RED1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.09551528	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q53GS9	A0A087X1B2|B3KPG7|B7Z7L9|B3KMG1	NP_001243654|NP_001243655|NP_006581|NP_001243657|NP_001243656	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1264172	104	10128	106618	115432	-	-	ADARB1	LRPPRC	ADAR2|DRABA2|DRADA2|RED1	CLONE-23970|GP130|LRP130|LSFC	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.155502209	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	P42704	E5KNY5	NP_573566	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1279100	351	104	106848	106618	-	-	APP	ADARB1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	ADAR2|DRABA2|DRADA2|RED1	Reconstituted Complex	physical	Virok DP (2011)	PUBMED:21244100	9606	9606	High Throughput	-	-	Oligomeric amyloid-beta queried against the ProtoArray Human Protein Microarray	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442992	3178	104	109420	106618	-	-	HNRNPA1	ADARB1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P09651	A0A024RB53|A0A024RAZ7	NP_112420|NP_002127	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442993	6942	104	112802	106618	RP4-669P10.13-001	-	TCF20	ADARB1	AR1|SPBP|TCF-20	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q9UGU0	W5ZR30	NP_005641|NP_852469|NP_001365347	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1458475	66489	104	211511	106618	RP23-244N6.4	-	Rpl35	ADARB1	2410039E09Rik	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q6ZWV7	-	NP_079868	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458476	67490	104	212226	106618	RP23-35A10.1	-	Ufl1	ADARB1	1810074P20Rik|AI429228|Kiaa0776|Maxer|Rcad|mKIAA0776	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8CCJ3	-	NP_080470	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Mus musculus	Homo sapiens
2225071	976	104	107414	106618	-	-	CD97	ADARB1	TM7LN1	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999960106	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999960106, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P48960	-	NP_001775|NP_001020331|NP_510966	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2377324	7706	104	113500	106618	-	-	TRIM25	ADARB1	EFP|RNF147|Z147|ZNF147	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-RNA	physical	Choudhury NR (2017)	PUBMED:29117863	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14258	-	NP_005073	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2397514	3191	104	109432	106618	P/OKcl.14	-	HNRNPL	ADARB1	HNRPL|hnRNP-L	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-RNA	physical	Fei T (2017)	PUBMED:28611215	9606	9606	High Throughput	-	-	-	-	BIOGRID	P14866	Q6NTA2	NP_001524|NP_001005335|NP_001372580	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2595021	9978	104	115301	106618	RP11-554C12.1	-	RBX1	ADARB1	BA554C12.1|RNF75|ROC1	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Li Y (2018)	PUBMED:30349055	9606	9606	High Throughput	-	-	-	-	BIOGRID	P62877	-	NP_055063	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2696847	5610	104	111596	106618	-	-	EIF2AK2	ADARB1	EIF2AK1|PKR|PPP1R83|PRKR	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	P19525	Q8IW76	NP_001129123|NP_002750|NP_001129124	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2708122	7329	104	113177	106618	LA16c-358B7.1	-	UBE2I	ADARB1	C358B7.1|P18|UBC9	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2715191	23567	104	117109	106618	-	-	ZNF346	ADARB1	JAZ|Zfp346	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q9UL40	D6RJ07	NP_001350642|NP_001295150|NP_036411|NP_001295148|NP_001295147|NP_001295145|NP_001295144|NP_001295143|NP_001295142|NP_001295152	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2715241	1962	104	108282	106618	-	-	EHHADH	ADARB1	ECHD|FRTS3|L-PBE|LBFP|LBP|PBFE	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q08426|Q9NY65	-	NP_001159887|NP_001957	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2719883	6780	104	112657	106618	RP3-470L14.2	-	STAU1	ADARB1	PPP1R150|STAU	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	O95793	B3KRE0|Q6PJX3	NP_059347|NP_059346|NP_001306063|NP_059348|NP_001309858|NP_001032405|NP_001306064|NP_001309862|NP_001309859|NP_004593|NP_001309857|NP_001309856|NP_001309860|NP_001309861	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2726479	87178	104	124579	106618	-	-	PNPT1	ADARB1	COXPD13|DFNB70|OLD35|PNPASE|old-35	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q8TCS8	-	NP_149100	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2727270	6895	104	112758	106618	-	-	TARBP2	ADARB1	LOQS|TRBP|TRBP1|TRBP2	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q15633	A0A024RB49	NP_599151|NP_599150|NP_004169	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2736455	79698	104	122819	106618	-	-	ZMAT4	ADARB1	-	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q9H898	-	NP_001129203|NP_078921	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2736564	55342	104	120623	106618	-	-	STRBP	ADARB1	HEL162|ILF3L|SPNR|p74	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q96SI9	V9HWK4	NP_001363035|NP_001363036|NP_001164608|NP_060857|NP_001363038	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2736837	219736	104	128569	106618	RP11-314J18.7	-	STOX1	ADARB1	C10orf24|PEE4	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q6ZVD7	-	NP_001123631|NP_001123633|NP_001123632|NP_689922|NP_001123634	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2741533	170082	104	127996	106618	-	-	TCEANC	ADARB1	-	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q8N8B7	B4DG85|A8K5F6	NP_001284493|NP_001284492|NP_689847	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2742327	8575	104	114143	106618	HSD14	-	PRKRA	ADARB1	DYT16|PACT|RAX	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	O75569	B4DJC7	NP_001132990|NP_001132989|NP_003681|NP_001303291	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2743551	55922	104	121002	106618	-	-	NKRF	ADARB1	ITBA4|NRF	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	O15226	A3F769|A3F768	NP_060014|NP_001166959|NP_001166958	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2744926	104	104	106618	106618	-	-	ADARB1	ADARB1	ADAR2|DRABA2|DRADA2|RED1	ADAR2|DRABA2|DRADA2|RED1	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2759743	406881	104	135730	106618	-	-	MIRLET7A1	ADARB1	LET7A1|MIRNLET7A1|let-7a-1	ADAR2|DRABA2|DRADA2|RED1	Protein-RNA	physical	Treiber T (2017)	PUBMED:28431233	9606	9606	High Throughput	-	-	-	-	BIOGRID	-	-	-	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2759936	406883	104	135732	106618	-	-	MIRLET7A3	ADARB1	LET7A3|MIRNLET7A3|let-7a-3	ADAR2|DRABA2|DRADA2|RED1	Protein-RNA	physical	Treiber T (2017)	PUBMED:28431233	9606	9606	High Throughput	-	-	-	-	BIOGRID	-	-	-	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
